,High School,# of SAT Takers in 2014,Avg SAT Critical Reading Score in 2014,Avg SAT Math Scores in 2014,Avg SAT Writing Scores in 2014
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,71,382,376,372
07X321,CROTONA ACADEMY HIGH SCHOOL,12,361,341,341
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,44,314,326,303
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,s,s,s,s
07X381,BRONX HAVEN HIGH SCHOOL,s,s,s,s
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,52,343,340,352
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,45,405,396,403
07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL,67,426,406,424
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,62,439,436,434
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,22,425,405,415
07X522,BRONX DESIGN AND CONSTRUCTION ACADEMY,s,s,s,s
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,96,366,383,358
07X547,NEW EXPLORERS HIGH SCHOOL,26,338,362,332
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,64,390,417,378
07X551,BRONX ACADEMY OF LETTERS,48,402,403,391
07X557,MOTT HAVEN COMMUNITY HS,s,s,s,s
07X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,18,380,387,360
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,36,402,399,381
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,74,359,363,374
08X282,WOMEN'S ACADEMY OF EXCELLENCE,54,376,388,391
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY,64,409,395,414
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY,35,369,347,355
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES,58,369,354,349
